(1, 1, 1),0,[0, 10000, 0.0]
(1, 1, 1),1,[-123725, 10000, -12.3725]
(1, 1, 1),2,[-125825, 10000, -12.5825]
(1, 1, 1),3,[-187025, 10000, -18.7025]
(1, 1, 1),4,[-125700, 10000, -12.57]
(1, 1, 1),5,[-185775, 10000, -18.5775]
(1, 1, 1),6,[-188600, 10000, -18.86]
(1, 1, 1),7,[-189075, 10000, -18.9075]
(1, 1, 2),0,[0, 10000, 0.0]
(1, 1, 2),1,[0, 10000, 0.0]
(1, 1, 2),2,[0, 10000, 0.0]
(1, 1, 2),3,[62025, 10000, 6.2025]
(1, 1, 2),4,[124350, 10000, 12.435]
(1, 1, 2),5,[62000, 10000, 6.2]
(1, 1, 2),6,[62150, 10000, 6.215]
(1, 1, 2),7,[61200, 10000, 6.12]
(1, 1, 3),0,[0, 10000, 0.0]
(1, 1, 3),1,[-126850, 10000, -12.685]
(1, 1, 3),2,[-126275, 10000, -12.6275]
(1, 1, 3),3,[-187150, 10000, -18.715]
(1, 1, 3),4,[-124100, 10000, -12.41]
(1, 1, 3),5,[-186675, 10000, -18.6675]
(1, 1, 3),6,[-187375, 10000, -18.7375]
(1, 1, 3),7,[-190325, 10000, -19.0325]
(1, 1, 4),0,[0, 10000, 0.0]
(1, 1, 4),1,[0, 10000, 0.0]
(1, 1, 4),2,[0, 10000, 0.0]
(1, 1, 4),3,[64175, 10000, 6.4175]
(1, 1, 4),4,[126125, 10000, 12.6125]
(1, 1, 4),5,[63400, 10000, 6.34]
(1, 1, 4),6,[64325, 10000, 6.4325]
(1, 1, 4),7,[62175, 10000, 6.2175]
(1, 1, 5),0,[0, 10000, 0.0]
(1, 1, 5),1,[-121725, 10000, -12.1725]
(1, 1, 5),2,[-125150, 10000, -12.515]
(1, 1, 5),3,[-189175, 10000, -18.9175]
(1, 1, 5),4,[-124275, 10000, -12.4275]
(1, 1, 5),5,[-187975, 10000, -18.7975]
(1, 1, 5),6,[-187050, 10000, -18.705]
(1, 1, 5),7,[-186925, 10000, -18.6925]
(1, 1, 6),0,[0, 10000, 0.0]
(1, 1, 6),1,[0, 10000, 0.0]
